cluster,hhid,extid
05,05017,05017-05
90,90231,90231-03
90,90231,90231-04
72,72025,72025-03
72,72025,72025-04
72,72025,72025-05
72,72025,72025-06
72,72025,72025-07
68,68013,68013-03
68,68013,68013-04
68,68013,68013-06
61,61048,61048-03
61,61047,61047-03
61,61047,61047-04
72,72022,72022-03
72,72022,72022-04
88,88047,88047-05
88,88047,88047-06
88,88493,88493-04
88,88493,88493-05
88,88493,88493-06
72,72021,72021-03
51,51048,51048-03
13,13038,13038-03
91,91014,91014-04
94,94009,94009-03
94,94009,94009-06
54,54049,54049-06
54,54049,54049-07
54,54049,54049-08
54,54049,54049-09
02,02036,02036-02
02,02036,02036-03
91,91013,91013-03
91,91013,91013-07
40,40025,40025-04
40,40025,40025-05
40,40025,40025-06
40,40025,40025-07
42,42057,42057-03
42,42057,42057-04
17,17026,17026-03
17,17026,17026-06
17,17026,17026-07
91,91012,91012-05
91,91012,91012-06
91,91012,91012-07
02,02060,02060-03
42,42012,42012-03
42,42012,42012-04
36,36018,36018-04
36,36018,36018-05
36,36018,36018-06
36,36018,36018-07
17,17027,17027-03
53,53044,53044-02
53,53044,53044-03
02,02059,02059-03
61,61010,61010-05
61,61010,61010-09
61,61010,61010-10
93,93043,93043-05
77,77134,77134-05
96,96014,96014-04
96,96014,96014-05
41,41020,41020-05
41,41020,41020-06
84,84013,84013-03
84,84013,84013-05
84,84013,84013-06
36,36017,36017-03
36,36017,36017-04
42,42056,42056-04
42,42056,42056-05
20,20016,20016-03
20,20016,20016-04
20,20016,20016-05
20,20016,20016-06
90,90160,90160-05
90,90160,90160-06
90,90160,90160-07
24,24058,24058-05
24,24058,24058-06
18,18047,18047-05
18,18047,18047-06
18,18047,18047-07
18,18047,18047-08
18,18047,18047-09
85,85012,85012-07
28,28096,28096-03
28,28096,28096-04
28,28096,28096-05
74,74034,74034-06
74,74034,74034-07
74,74034,74034-08
74,74034,74034-09
45,45012,45012-03
45,45012,45012-04
45,45012,45012-05
45,45012,45012-06
33,33083,33083-03
59,59039,59039-04
43,43008,43008-03
08,08067,08067-04
13,13069,13069-05
38,38049,38049-03
77,77163,77163-05
77,77163,77163-06
41,41019,41019-03
41,41019,41019-04
41,41019,41019-05
41,41019,41019-06
41,41019,41019-07
43,43092,43092-07
43,43092,43092-08
43,43092,43092-09
43,43092,43092-10
43,43092,43092-11
43,43092,43092-12
03,03015,03015-04
03,03015,03015-05
34,34120,34120-02
34,34120,34120-03
34,34120,34120-04
48,48016,48016-04
17,17028,17028-06
17,17028,17028-07
17,17028,17028-08
88,88044,88044-03
88,88044,88044-04
88,88044,88044-05
88,88044,88044-06
13,13039,13039-05
13,13039,13039-06
84,84011,84011-03
84,84011,84011-04
84,84011,84011-05
42,42011,42011-03
42,42011,42011-04
42,42011,42011-05
42,42011,42011-06
42,42011,42011-07
08,08066,08066-02
08,08066,08066-03
